제조사,비행기모델,ICAO CODE,IATA CODE,비행기구분,비행기크기,CLASS,엔진타입,엔진수,최초운항일,생산수량,단가,상태,조종석수,승객수,길이(m),높이(m),운송범위(km)
ATR,ATR-42-600,AT46,ATR,LandPlane,MEDIUM,Turboprop Regional airliner,Turboprop/Turboshaft,2,2007-10-31,,,서비스중,2,48,22.7,7.6,716
ATR,ATR-72,AT72,AT7,LandPlane,MEDIUM,Regional airliner,Turboprop/Turboshaft,2,1988-10-27,1000,26,서비스중,,,,,
ATR,ATR-72-200 series,AT73,ATR,LandPlane,MEDIUM,Regional airliner,Turboprop/Turboshaft,2,,,,서비스중,,,,,
ATR,ATR-72-500,AT75,ATR,LandPlane,MEDIUM,Regional airliner,Turboprop/Turboshaft,2,,,,서비스중,,,,,
ATR,ATR-72-600,AT76,ATR,LandPlane,MEDIUM,Regional airliner,Turboprop/Turboshaft,2,2009-07-24,,,서비스중,2,70,27.2,7.7,1528
ROBIN,ATL,ATL,ATL,LandPlane,LOW,Light aircraft,Piston,1,1983-08-06,132,,서비스중,2,,6.7,2,790
BRITISH AEROSPACE,ATP,ATP,ATP,LandPlane,MEDIUM,Airliner,Turboprop/Turboshaft,2,1986-08-17,65,,서비스중,2,64,26,7.1,1825
EUROCOPTER,BO-105,B105,MBH,Helicopter,LOW,Light utility helicopter,Turboprop/Turboshaft,2,1967-02-16,1500,1.9,서비스중,2,4,11.9,3,657
BEECHCRAFT,1900,B190,BEH,LandPlane,MEDIUM,"Regional airliner,cargo, and corporate aircraft",Turboprop/Turboshaft,2,1982-09-03,695,5,서비스중,2,19,17.6,4.7,707
BOEING,737 MAX 7,B37M,7M7,LandPlane,MEDIUM,Narrow-bodytwin-enginejet airliner,Jet,2,2016-01-29,387,99.7,서비스중,2,153,35.6,12.3,7130
BOEING,737 MAX 8,B38M,7M8,LandPlane,MEDIUM,Narrow-bodytwin-enginejet airliner,Jet,2,2017-05-22,,121.6,서비스중,2,178,39.5,12.3,6570
BOEING,737 MAX 9,B39M,7M9,LandPlane,MEDIUM,Narrow-bodytwin-enginejet airliner,Jet,2,2017-04-13,,128.9,서비스중,2,193,42.2,12.3,6570
BOEING,737 MAX10,B3XM,7MJ,LandPlane,MEDIUM,Narrow-bodytwin-enginejet airliner,Jet,2,,,134.9,서비스중,2,204,43.8,12.3,6110
BELL,Bell 412,B412,BH2,Helicopter,LOW,Multipurposeutility helicopter,Turboprop/Turboshaft,2,1979-08-01,869,,서비스중,2,13,13,4.6,609
BELL,Bell 429,B429,BH2,Helicopter,LOW,Multipurpose utility helicopter,Turboprop/Turboshaft,2,2007-02-27,325,7.5,서비스중,1,6,12.7,4,722
BRITISH AEROSPACE,BAe-146-100,B461,141,LandPlane,MEDIUM,Airliner,Jet,4,1981-09-03,166,,서비스중,2,82,26.2,8.6,3870
BRITISH AEROSPACE,BAe-146-200,B462,142,LandPlane,MEDIUM,Airliner,Jet,4,1982-08-01,221,,서비스중,2,100,28.6,8.6,3650
BRITISH AEROSPACE,BAe-146-300,B463,143,LandPlane,MEDIUM,Airliner,Jet,4,,,,서비스중,2,112,31,8.6,3340
BOEING,Boeing 707,B703,703,LandPlane,HIGH,Narrow-body airliner,Jet,4,1957-12-20,865,41,서비스중,3,189,44.2,12.7,6700
BOEING,Boeing 717,B712,,,,Narrow-bodyjet airliner,,,1988-09-02,156,,서비스중,2,106,37.8,9,1430
BOEING,Boeing 720B,B720,B72,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,4,1959-11-23,154,30.1,서비스중,3,156,41.7,12.6,5900
BOEING,Boeing 727-100,B721,721,LandPlane,MEDIUM,Narrow-body airliner,Jet,3,1963-02-09,571,22,서비스중,3,125,40.6,10.4,2250
BOEING,Boeing 727-200,B722,722,LandPlane,MEDIUM,Narrow-body airliner,Jet,3,1967-07-27,1260,,서비스중,3,155,46.7,10.7,3500
BOEING,Boeing 737-200,B732,732,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1967-08-08,991,,서비스중,2,136,30.5,11,4800
BOEING,Boeing 737-300,B733,733,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1984-02-24,1113,,서비스중,2,149,37,11.1,4398
BOEING,Boeing 737-400,B734,734,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1988-02-19,486,,서비스중,2,188,37,11.1,4398
BOEING,Boeing 737-500,B735,735,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1989-06-30,389,,서비스중,2,145,37,11.1,4398
BOEING,Boeing 737-600,B736,736,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1988-01-22,69,,서비스중,2,149,42,12,4398
BOEING,Boeing 737-700,B737,73G,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1997-02-09,1128,,서비스중,2,149,42,12,5575
BOEING,Boeing 737-800,B738,738,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1997-07-31,4991,,서비스중,2,189,42,12,5575
BOEING,Boeing 737-900,B739,739,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,2000-08-03,52,,서비스중,2,220,42,12,5575
BOEING,Boeing 747-100,B741,741,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1969-02-09,176,146.7,서비스중,3,440,70.7,19.3,8560
BOEING,Boeing 747-200,B742,742,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,,393,175.2,서비스중,3,550,70.7,19.3,12150
BOEING,Boeing 747-300,B743,743,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1982-10-05,81,219.9,서비스중,3,550,70.7,19.3,11720
BOEING,Boeing 747-400,B744,744,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1989-02-01,694,,서비스중,2,660,70.7,19.4,14200
BOEING,Boeing 747-8I,B748,74H,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,2010-02-08,47,,서비스중,2,495,76.3,19.4,14320
BOEING,Boeing 747SR,B74R,74R,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1973-08-31,29,,서비스중,3,400,56.3,19.9,10800
AIRBUS,A310-200,A310,312,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,1982-04-03,255,,Production completed 1998),2,220,46.7,15.8,6500
BOEING,Boeing 757-200,B752,752,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1982-02-19,994,65,서비스중,2,239,47.3,13.6,7250
